time,reference,actual,high,low,error,actual (raw)
0.2392,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2392,,,,,,0.001
0.24,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.24,,,,,,0.001
0.2408,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2408,,,,,,0.001
0.2416,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2424,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2432,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.244,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.244,,,,,,0.001
0.2448,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2448,,,,,,0.001
0.2456,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2464,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2472,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.248,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2488,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2488,,,,,,0.001
0.2496,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2496,,,,,,0.001
0.2504,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2512,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2512,,,,,,0.001
0.252,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2528,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2536,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2544,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2552,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2552,,,,,,0.001
0.256,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,0.001
0.2568,0.209,0.001,0.209833505560245,0.208166494439755,0.207166494439755,
0.2568,,,,,,0.001
